Informe de grupo de anuncios
8 de mayo de 2026 - 4 de junio de 2026
Estado del grupo de anuncios,Grupo de anuncios,Campaña,Estado,Motivos del estado,Código de moneda,CPA objetivo,Tipo de grupo de anuncios,Impr.,Interacciones,Tasa de interacción,Código de moneda,Coste medio,Coste,Inclusiones de marcas,Ubicaciones de interés,Clics,CTR,CPC medio,Valor de conv.,Tasa de conv.,Conversiones,Coste/conv.
Habilitado,Lavadoras,M! - Search,Apto,desconocido,EUR, --,Estándar,0,0, --,EUR,0,"0,00",[],[],0, --,0,"0,00","0,00%","0,00","0,00"
Habilitado,Termos Eléctricos,M! - Search,Apto,desconocido,EUR, --,Estándar,1.787,135,"7,55%",EUR,"1,62","218,87",[],[],135,"7,55%","1,62","105,71","4,44%","6,00","36,48"
Habilitado,"Neveras, congeladores y frigoríficos.",M! - Search,Apto,desconocido,EUR, --,Estándar,0,0, --,EUR,0,"0,00",[],[],0, --,0,"0,00","0,00%","0,00","0,00"
En pausa,Grupo de anuncios 1,Search - Calderas/Calefacción,En pausa,grupo de anuncios en pausa; campaña en pausa; desconocido,EUR, --,Estándar,0,0, --,EUR,0,"0,00",[],[],0, --,0,"0,00","0,00%","0,00","0,00"
Habilitado,Calentadores,M! - Search,Apto,desconocido,EUR, --,Estándar,3.563,278,"7,80%",EUR,"2,02","562,64",[],[],278,"7,80%","2,02","216,71","6,47%","18,00","31,26"
Habilitado,Calderas,M! - Search,Apto,desconocido,EUR, --,Estándar,6.350,463,"7,29%",EUR,"1,90","877,83",[],[],463,"7,29%","1,90","519,12","4,75%","22,00","39,90"
Total: Grupos de anuncios,,,,,,,,11.700,876,"7,49%",EUR,"1,89","1659,34",,,876,"7,49%","1,89","841,54","5,25%","46,00","36,07"
Total: Cuenta,,,,,,,,11.700,876,"7,49%",EUR,"1,89","1659,34",,,876,"7,49%","1,89","841,54","5,25%","46,00","36,07"
Total: Rendimiento máximo,,,,,,,,0,0, --,EUR,0,"0,00",,,0, --,0,"0,00","0,00%","0,00","0,00"
Total: Buscar,,,,,,,,11.700,876,"7,49%",EUR,"1,89","1659,34",,,876,"7,49%","1,89","841,54","5,25%","46,00","36,07"
