Informe de palabras clave de búsqueda
8 de mayo de 2026 - 4 de junio de 2026
Estado de las palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Impr.,Interacciones,Tasa de interacción,Código de moneda,Coste medio,Coste,Tasa de conv.,Conversiones,Coste/conv.
Habilitado,instalador de calderas autorizado,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,servicio de reparacion de calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación calderas junkers,Concordancia amplia,M! - Search,Calderas,Apto,,,1,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Ripollet,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,caldera no arrenca,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,avaria caldera gas,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tecnico de calefaccion,Concordancia amplia,M! - Search,Calderas,Apto,,,86,11,"12,79%",EUR,"1,94","21,31","0,00%","0,00","0,00"
Habilitado,reparación de calderas barcelona,Concordancia amplia,M! - Search,Calderas,Limitado,baja calidad,,15,1,"6,67%",EUR,"2,06","2,06","0,00%","0,00","0,00"
Habilitado,reparación de neveras,Concordancia amplia,M! - Search,"Neveras, congeladores y frigoríficos.",Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación de calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,3.295,260,"7,89%",EUR,"1,85","482,08","6,92%","18,00","26,78"
Habilitado,reparación calderas de gas,Concordancia amplia,M! - Search,Calderas,Apto,,,1,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparació calderes ferroli,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,mantenimiento de gas,Concordancia amplia,M! - Search,Calderas,Limitado,baja calidad,,14,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación de calderas industriales,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Castelldefels,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tecnico de calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,1.110,61,"5,50%",EUR,"2,16","131,70","1,64%","1,00","131,70"
Habilitado,técnico calderas Granollers,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,[reparació de calderes],Concordancia exacta,M! - Search,Calderas,Apto,,,79,6,"7,59%",EUR,"1,03","6,15","0,00%","0,00","0,00"
Habilitado,[tècnic calderes a prop meu],Concordancia exacta,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,caldera perd aigua,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación de calderas en barcelona,Concordancia amplia,M! - Search,Calderas,Apto,,,3,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas barcelona,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,calderas 24 horas,Concordancia amplia,M! - Search,Calderas,Apto,,,3,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tecnico reparacion calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparació calderes vaillant,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Manresa,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse; baja calidad,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Granollers,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,avería caldera gas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Igualada,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Sitges,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparar caldera urgent,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Sabadell,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Barcelona,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,revisió caldera gas,Concordancia amplia,M! - Search,Calderas,Limitado,baja calidad,,2,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Sant Boi De Llobregat,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Mataró,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tecnico en calefaccion,Concordancia amplia,M! - Search,Calderas,Apto,,,203,14,"6,90%",EUR,"2,06","28,81","0,00%","0,00","0,00"
Habilitado,reparació calderes ariston,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,servei tècnic oficial calderes,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,arreglo calderas de gas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,limpieza de quemadores caldera,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,mantenimiento gas,Concordancia amplia,M! - Search,Calderas,Limitado,baja calidad,,320,24,"7,50%",EUR,"2,58","61,96","0,00%","0,00","0,00"
Habilitado,tècnic calderes Terrassa,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Esplugues de llobregat,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,servicio caldera,Concordancia amplia,M! - Search,Calderas,Apto,,,124,7,"5,65%",EUR,"1,09","7,62","0,00%","0,00","0,00"
Habilitado,técnico calderas Sitges,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,14,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación calderas ariston,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,mecanico de calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,preu arreglar caldera,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,arreglo calderas 24 horas,Concordancia amplia,M! - Search,Calderas,Apto,,,2,1,"50,00%",EUR,"2,08","2,08","0,00%","0,00","0,00"
Habilitado,reparacion y mantenimiento de calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,empresas de mantenimiento de calderas,Concordancia amplia,M! - Search,Calderas,Limitado,baja calidad,,30,3,"10,00%",EUR,"1,23","3,70","0,00%","0,00","0,00"
Habilitado,precio arreglar caldera,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación de congeladores,Concordancia amplia,M! - Search,"Neveras, congeladores y frigoríficos.",Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparar caldera urgente,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,arreglar caldera barcelona,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Sant Boi De Llobregat,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tecnico en calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Terrassa,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,[técnico calderas cerca de mi],Concordancia exacta,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,mantenimiento y reparacion de calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación de calderas de gas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,5,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Viladecans,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Manresa,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,montaje profesional,Concordancia amplia,M! - Search,"Neveras, congeladores y frigoríficos.",Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Castelldefels,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Santa Coloma de Gramanet,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,mantenimiento de congeladores,Concordancia amplia,M! - Search,"Neveras, congeladores y frigoríficos.",Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Sant Cugat del Vallès,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparacion de calderas barcelona,Concordancia amplia,M! - Search,Calderas,Limitado,baja calidad,,3,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes,Concordancia amplia,M! - Search,Calderas,Apto,,,10,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,servicio de mantenimiento de calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,1,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tecnico de caldera,Concordancia amplia,M! - Search,Calderas,Apto,,,77,3,"3,90%",EUR,"1,09","3,27","0,00%","0,00","0,00"
Habilitado,técnico calderas Viladecans,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,empresas mantenimiento calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,arreglo calderas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparacion caldera gas,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tecnico caldera barcelona,Concordancia amplia,M! - Search,Calderas,Apto,,,93,8,"8,60%",EUR,"2,51","20,11","12,50%","1,00","20,11"
Habilitado,instalación de neveras,Concordancia amplia,M! - Search,"Neveras, congeladores y frigoríficos.",Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Vic,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,manteniment calderes preu,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,assistència tècnica calderes,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas vic,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Rubí,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,reparación calderas Saunier duval,Concordancia amplia,M! - Search,Calderas,Apto,,,1,0,"0,00%",EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,servicio de caldera,Concordancia amplia,M! - Search,Calderas,Apto,,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,técnico calderas Cornellá de llobregat,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,instal·lador de calderes autoritzat,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,tècnic calderes Igualada,Concordancia amplia,M! - Search,Calderas,No apto,no suele publicarse,,0,0, --,EUR,0,"0,00","0,00%","0,00","0,00"
Habilitado,mantenimiento caldera barcelona,Concordancia amplia,M! - Search,Calderas,Apto,,,22,2,"9,09%",EUR,"3,86","7,73","0,00%","0,00","0,00"
